Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
Total time = 346.168000
         233408533 function calls (232510377 primitive calls) in 371.927 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35377    0.017    0.000    0.642    0.000 indexes.py:844(_copy)
        6    0.000    0.000    0.639    0.107 mathtext.py:62(parse)
        3    0.000    0.000    0.639    0.213 mathtext.py:81(_parse_cached)
    55215    0.078    0.000    0.636    0.000 variable.py:88(as_variable)
    11715    0.064    0.000    0.627    0.000 artist.py:1176(_update_props)
695470/695462    0.151    0.000    0.627    0.000 <frozen abc>:117(__instancecheck__)
    35380    0.031    0.000    0.626    0.000 indexes.py:594(_replace)
    11237    0.007    0.000    0.622    0.000 artist.py:1212(_internal_update)
        1    0.000    0.000    0.611    0.611 watercolumn_run_lib.py:1(<module>)
      161    0.001    0.000    0.606    0.004 axis.py:287(draw)
    18121    0.042    0.000    0.571    0.000 alignment.py:132(__init__)
    45719    0.203    0.000    0.562    0.000 dataset.py:1469(_construct_dataarray)
       19    0.001    0.000    0.559    0.029 utils.py:1(<module>)
        1    0.000    0.000    0.556    0.556 _axes.py:1(<module>)
   108152    0.119    0.000    0.550    0.000 dataset.py:1984(xindexes)
     8331    0.012    0.000    0.537    0.000 patches.py:259(get_transform)
    31071    0.050    0.000    0.535    0.000 generic.py:6284(__getattr__)
     1727    0.017    0.000    0.532    0.000 frame.py:694(__init__)
     8604    0.120    0.000    0.527    0.000 lines.py:666(recache)
22198/22184    0.074    0.000    0.521    0.000 transforms.py:1106(get_points)
        2    0.000    0.000    0.520    0.260 sizeof.py:1(<module>)
        1    0.000    0.000    0.520    0.520 sizeof.py:261(_register_entry_point_plugins)
        1    0.000    0.000    0.520    0.520 __init__.py:901(entry_points)
      216    0.000    0.000    0.519    0.002 __init__.py:910(<genexpr>)
     8226    0.007    0.000    0.511    0.000 lines.py:1029(get_path)
    39694    0.049    0.000    0.509    0.000 base.py:1250(copy)
