Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
         150882364 function calls (150788378 primitive calls) in 186.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2926    0.001    0.000    0.015    0.000 base.py:1246(enter_fn)
    90947    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
       10    0.000    0.000    0.015    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.015    0.015 datatree_ops.py:1(<module>)
        3    0.000    0.000    0.015    0.005 datatree_ops.py:173(_wrap_then_attach_to_cls)
   106/78    0.000    0.000    0.015    0.000 base.py:526(get_function)
      270    0.002    0.000    0.014    0.000 _decorators.py:363(decorator)
     1233    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.014    0.014 parfor_lowering.py:1(<module>)
      122    0.005    0.000    0.014    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.014    0.014 cffi_utils.py:1(<module>)
       97    0.001    0.000    0.014    0.000 docscrape.py:384(_parse)
        1    0.000    0.000    0.014    0.014 polar.py:1(<module>)
        1    0.000    0.000    0.014    0.014 api.py:41(__init__)
      125    0.000    0.000    0.014    0.000 datatree_ops.py:220(insert_doc_addendum)
       39    0.000    0.000    0.013    0.000 cgutils.py:99(__init__)
