pmax,ws
0.18781250000000002,9.16666666666667e-06
0.18781250000000002,1e-05
0.208625,-1e-05
0.208625,-9.166666666666668e-06
0.208625,-8.333333333333334e-06
0.208625,-7.500000000000001e-06
0.208625,-6.666666666666667e-06
0.208625,-5.833333333333334e-06
0.208625,-5e-06
0.208625,-4.166666666666667e-06
0.208625,-3.3333333333333333e-06
0.208625,-2.4999999999999998e-06
0.208625,-1.666666666666667e-06
0.208625,-8.333333333333327e-07
0.208625,0.0
0.208625,8.333333333333344e-07
0.208625,1.666666666666667e-06
0.208625,2.5000000000000015e-06
0.208625,3.333333333333334e-06
0.208625,4.166666666666667e-06
0.208625,5.000000000000001e-06
0.208625,5.833333333333336e-06
0.208625,6.666666666666667e-06
0.208625,7.500000000000001e-06
0.208625,8.333333333333335e-06
0.208625,9.16666666666667e-06
0.208625,1e-05
0.22943750000000002,-1e-05
0.22943750000000002,-9.166666666666668e-06
0.22943750000000002,-8.333333333333334e-06
0.22943750000000002,-7.500000000000001e-06
0.22943750000000002,-6.666666666666667e-06
0.22943750000000002,-5.833333333333334e-06
0.22943750000000002,-5e-06
0.22943750000000002,-4.166666666666667e-06
0.22943750000000002,-3.3333333333333333e-06
0.22943750000000002,-2.4999999999999998e-06
0.22943750000000002,-1.666666666666667e-06
0.22943750000000002,-8.333333333333327e-07
0.22943750000000002,0.0
0.22943750000000002,8.333333333333344e-07
0.22943750000000002,1.666666666666667e-06
0.22943750000000002,2.5000000000000015e-06
0.22943750000000002,3.333333333333334e-06
0.22943750000000002,4.166666666666667e-06
0.22943750000000002,5.000000000000001e-06
0.22943750000000002,5.833333333333336e-06
0.22943750000000002,6.666666666666667e-06
0.22943750000000002,7.500000000000001e-06
0.22943750000000002,8.333333333333335e-06
0.22943750000000002,9.16666666666667e-06
0.22943750000000002,1e-05
0.25025000000000003,-1e-05
0.25025000000000003,-9.166666666666668e-06
0.25025000000000003,-8.333333333333334e-06
0.25025000000000003,-7.500000000000001e-06
0.25025000000000003,-6.666666666666667e-06
0.25025000000000003,-5.833333333333334e-06
0.25025000000000003,-5e-06
0.25025000000000003,-4.166666666666667e-06
0.25025000000000003,-3.3333333333333333e-06
0.25025000000000003,-2.4999999999999998e-06
0.25025000000000003,-1.666666666666667e-06
0.25025000000000003,-8.333333333333327e-07
0.25025000000000003,0.0
0.25025000000000003,8.333333333333344e-07
